cell quad (fq1) -> results/runs/quad_fq1.json | workloads ['mix_het', 'mix_hom'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-fq1-s0] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s1] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s1] round 10 | D33 | ipc=1.0625 | best 1.0907 | forest | 132 min
[bo-fq1-s0] round 11 | D34 | ipc=1.0674 | best 1.0836 | forest | 139 min
[bo-fq1-s0] round 11 | D35 | ipc=1.0460 | best 1.0836 | forest | 139 min
[bo-fq1-s0] round 11 | D36 | ipc=1.0355 | best 1.0836 | forest | 139 min
[bo-fq1-s1] round 11 | D34 | ipc=1.0586 | best 1.0907 | forest | 142 min
[bo-fq1-s1] round 11 | D35 | ipc=1.0289 | best 1.0907 | forest | 142 min
[bo-fq1-s1] round 11 | D36 | ipc=1.0352 | best 1.0907 | forest | 142 min
[bo-fq1-s0] round 12 | D37 | ipc=1.0875 | best 1.0875 | forest | 154 min
[bo-fq1-s0] round 12 | D38 | ipc=1.0612 | best 1.0875 | forest | 154 min
[bo-fq1-s0] round 12 | D39 | ipc=0.9015 | best 1.0875 | forest | 154 min
[bo-fq1-s1] round 12 | D37 | ipc=1.0826 | best 1.0907 | forest | 158 min
[bo-fq1-s1] round 12 | D38 | ipc=1.0831 | best 1.0907 | forest | 158 min
[bo-fq1-s1] round 12 | D39 | ipc=1.0838 | best 1.0907 | forest | 158 min
[bo-fq1-s0] round 13 | D40 | ipc=1.0828 | best 1.0875 | forest | 168 min
[bo-fq1-s0] round 13 | D41 | ipc=1.0782 | best 1.0875 | forest | 168 min
[bo-fq1-s0] round 13 | D42 | ipc=1.0221 | best 1.0875 | forest | 168 min
[bo-fq1-s1] round 13 | D40 | ipc=1.0833 | best 1.0907 | forest | 169 min
[bo-fq1-s1] round 13 | D41 | ipc=1.0819 | best 1.0907 | forest | 169 min
[bo-fq1-s1] round 13 | D42 | ipc=1.0588 | best 1.0907 | forest | 169 min
[bo-fq1-s0] round 14 | D43 | ipc=1.0764 | best 1.0875 | forest | 177 min
[bo-fq1-s0] round 14 | D44 | ipc=1.0633 | best 1.0875 | forest | 177 min
[bo-fq1-s0] round 14 | D45 | ipc=0.9821 | best 1.0875 | forest | 177 min
[bo-fq1-s1] round 14 | D43 | ipc=1.0101 | best 1.0907 | forest | 178 min
[bo-fq1-s1] round 14 | D44 | ipc=1.0624 | best 1.0907 | forest | 178 min
[bo-fq1-s1] round 14 | D45 | ipc=1.0466 | best 1.0907 | forest | 178 min
[bo-fq1-s0] round 15 | D46 | ipc=0.9849 | best 1.0875 | forest | 186 min
[bo-fq1-s0] round 15 | D47 | ipc=1.0742 | best 1.0875 | forest | 186 min
[bo-fq1-s0] round 15 | D48 | ipc=1.0835 | best 1.0875 | forest | 186 min
[bo-fq1-s1] round 15 | D46 | ipc=1.0682 | best 1.0907 | forest | 188 min
