cell aiml (mf1) -> results/runs/aiml_mf1.json | workloads ['llama2.c-llama2_7b.1', 'stable-diffusion.cpp-v1-5-pruned-emaonly.1', 'clip_trace_1'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-mf1-s1] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s0] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s0] round 13 | D42 | ipc=1.2137 | best 1.2287 | forest | 22 min
[bo-mf1-s1] round 7 | D22 | ipc=1.1850 | best 1.1850 | forest | 22 min
[bo-mf1-s1] round 7 | D23 | ipc=1.1766 | best 1.1850 | forest | 22 min
[bo-mf1-s1] round 7 | D24 | ipc=1.1673 | best 1.1850 | forest | 22 min
[bo-mf1-s0] round 14 | D43 | ipc=1.1659 | best 1.2287 | forest | 22 min
[bo-mf1-s0] round 14 | D44 | ipc=1.2242 | best 1.2287 | forest | 22 min
[bo-mf1-s0] round 14 | D45 | ipc=1.1599 | best 1.2287 | forest | 22 min
[bo-mf1-s0] round 15 | D46 | ipc=1.2131 | best 1.2287 | forest | 23 min
[bo-mf1-s0] round 15 | D47 | ipc=1.0989 | best 1.2287 | forest | 23 min
[bo-mf1-s0] round 15 | D48 | ipc=1.1439 | best 1.2287 | forest | 23 min
[bo-mf1-s1] round 8 | D25 | ipc=1.1765 | best 1.1850 | forest | 25 min
[bo-mf1-s1] round 8 | D26 | ipc=1.1663 | best 1.1850 | forest | 25 min
[bo-mf1-s1] round 8 | D27 | ipc=1.1840 | best 1.1850 | forest | 25 min
[bo-mf1-s0] round 16 | D49 | ipc=1.1446 | best 1.2287 | forest | 26 min
[bo-mf1-s0] round 16 | D50 | ipc=1.2188 | best 1.2287 | forest | 26 min
[bo-mf1-s0] round 16 | D51 | ipc=1.0072 | best 1.2287 | forest | 26 min
[bo-mf1-s0] round 17 | D52 | ipc=1.1904 | best 1.2287 | forest | 26 min
[bo-mf1-s0] round 17 | D53 | ipc=1.1884 | best 1.2287 | forest | 26 min
[bo-mf1-s0] round 17 | D54 | ipc=1.1414 | best 1.2287 | forest | 26 min
[bo-mf1-s0] round 18 | D55 | ipc=1.1660 | best 1.2287 | forest | 27 min
[bo-mf1-s0] round 18 | D56 | ipc=1.1667 | best 1.2287 | forest | 27 min
[bo-mf1-s0] round 18 | D57 | ipc=1.2287 | best 1.2287 | forest | 27 min
[bo-mf1-s0] round 19 | D58 | ipc=1.2287 | best 1.2287 | forest | 27 min
[bo-mf1-s0] round 19 | D59 | ipc=1.2171 | best 1.2287 | forest | 27 min
[bo-mf1-s0] round 19 | D60 | ipc=1.2188 | best 1.2287 | forest | 27 min
[bo-mf1-s1] round 9 | D28 | ipc=1.1642 | best 1.1850 | forest | 27 min
[bo-mf1-s1] round 9 | D29 | ipc=1.0587 | best 1.1850 | forest | 27 min
[bo-mf1-s1] round 9 | D30 | ipc=1.1823 | best 1.1850 | forest | 27 min
[bo-mf1-s0] round 20 | D61 | ipc=1.1851 | best 1.2287 | forest | 30 min
[bo-mf1-s0] round 20 | D62 | ipc=1.1181 | best 1.2287 | forest | 30 min
[bo-mf1-s0] round 20 | D63 | ipc=1.2072 | best 1.2287 | forest | 30 min
[bo-mf1-s0] round 21 | D64 | ipc=1.2287 | best 1.2287 | forest | 30 min
[bo-mf1-s0] round 21 | D65 | ipc=1.1973 | best 1.2287 | forest | 30 min
[bo-mf1-s0] round 21 | D66 | ipc=1.2106 | best 1.2287 | forest | 30 min
[bo-mf1-s1] round 10 | D31 | ipc=1.1892 | best 1.1892 | forest | 31 min
[bo-mf1-s1] round 10 | D32 | ipc=1.0804 | best 1.1892 | forest | 31 min
[bo-mf1-s1] round 10 | D33 | ipc=1.1832 | best 1.1892 | forest | 31 min
[bo-mf1-s0] round 22 | D67 | ipc=1.2094 | best 1.2287 | forest | 33 min
[bo-mf1-s0] round 22 | D68 | ipc=1.1285 | best 1.2287 | forest | 33 min
[bo-mf1-s0] round 22 | D69 | ipc=1.1308 | best 1.2287 | forest | 33 min
[bo-mf1-s0] round 23 | D70 | ipc=1.1992 | best 1.2287 | forest | 33 min
[bo-mf1-s0] round 23 | D71 | ipc=1.2067 | best 1.2287 | forest | 33 min
[bo-mf1-s0] round 23 | D72 | ipc=1.2111 | best 1.2287 | forest | 33 min
[bo-mf1-s1] round 11 | D34 | ipc=1.1896 | best 1.1896 | forest | 33 min
[bo-mf1-s1] round 11 | D35 | ipc=1.1825 | best 1.1896 | forest | 33 min
[bo-mf1-s1] round 11 | D36 | ipc=1.1816 | best 1.1896 | forest | 33 min
[bo-mf1-s0] round 24 | D73 | ipc=1.2106 | best 1.2287 | forest | 34 min
[bo-mf1-s0] round 24 | D74 | ipc=1.2190 | best 1.2287 | forest | 34 min
[bo-mf1-s0] round 24 | D75 | ipc=1.0411 | best 1.2287 | forest | 34 min
[bo-mf1-s0] round 25 | D76 | ipc=1.2073 | best 1.2287 | forest | 34 min
[bo-mf1-s0] round 25 | D77 | ipc=1.1900 | best 1.2287 | forest | 34 min
[bo-mf1-s0] round 25 | D78 | ipc=1.2271 | best 1.2287 | forest | 34 min
[bo-mf1-s1] round 12 | D37 | ipc=1.1278 | best 1.1896 | forest | 36 min
[bo-mf1-s1] round 12 | D38 | ipc=1.1782 | best 1.1896 | forest | 36 min
[bo-mf1-s1] round 12 | D39 | ipc=1.1874 | best 1.1896 | forest | 36 min
[bo-mf1-s0] round 26 | D79 | ipc=1.2271 | best 1.2287 | forest | 37 min
