cell gen (g3r) -> results/runs/next_gen_g3r.json | workloads ['llama2.c-llama2_7b.1', 'whiskey_0000'] | arms ['random'] | seeds 0..1 | 375 designs per run
[next-random-g3r-s1] round 45 | 225 designs | best 0.9547 | 37 min
[next-random-g3r-s0] round 43 | 215 designs | best 0.9450 | 39 min
[next-random-g3r-s1] round 46 | 230 designs | best 0.9547 | 39 min
[next-random-g3r-s0] round 44 | 220 designs | best 0.9450 | 40 min
[next-random-g3r-s1] round 47 | 235 designs | best 0.9547 | 41 min
[next-random-g3r-s0] round 45 | 225 designs | best 0.9450 | 42 min
[next-random-g3r-s1] round 48 | 240 designs | best 0.9547 | 43 min
[next-random-g3r-s0] round 46 | 230 designs | best 0.9450 | 43 min
[next-random-g3r-s1] round 49 | 245 designs | best 0.9547 | 43 min
[next-random-g3r-s0] round 47 | 235 designs | best 0.9450 | 45 min
[next-random-g3r-s1] round 50 | 250 designs | best 0.9547 | 45 min
[next-random-g3r-s0] round 48 | 240 designs | best 0.9450 | 46 min
[next-random-g3r-s1] round 51 | 255 designs | best 0.9547 | 47 min
[next-random-g3r-s1] round 52 | 260 designs | best 0.9547 | 48 min
[next-random-g3r-s0] round 49 | 245 designs | best 0.9450 | 48 min
[next-random-g3r-s1] round 53 | 265 designs | best 0.9547 | 50 min
[next-random-g3r-s0] round 50 | 250 designs | best 0.9450 | 50 min
[next-random-g3r-s0] round 51 | 255 designs | best 0.9450 | 51 min
[next-random-g3r-s0] round 52 | 260 designs | best 0.9450 | 51 min
[next-random-g3r-s1] round 54 | 270 designs | best 0.9547 | 52 min
[next-random-g3r-s0] round 53 | 265 designs | best 0.9450 | 52 min
[next-random-g3r-s1] round 55 | 275 designs | best 0.9547 | 53 min
[next-random-g3r-s0] round 54 | 270 designs | best 0.9450 | 54 min
[next-random-g3r-s1] round 56 | 280 designs | best 0.9547 | 55 min
[next-random-g3r-s0] round 55 | 275 designs | best 0.9450 | 56 min
[next-random-g3r-s1] round 57 | 285 designs | best 0.9547 | 57 min
[next-random-g3r-s0] round 56 | 280 designs | best 0.9450 | 58 min
[next-random-g3r-s1] round 58 | 290 designs | best 0.9547 | 59 min
[next-random-g3r-s0] round 57 | 285 designs | best 0.9450 | 60 min
[next-random-g3r-s1] round 59 | 295 designs | best 0.9547 | 60 min
[next-random-g3r-s1] round 60 | 300 designs | best 0.9547 | 61 min
[next-random-g3r-s0] round 58 | 290 designs | best 0.9450 | 61 min
[next-random-g3r-s1] round 61 | 305 designs | best 0.9547 | 62 min
[next-random-g3r-s0] round 59 | 295 designs | best 0.9450 | 63 min
[next-random-g3r-s1] round 62 | 310 designs | best 0.9547 | 64 min
[next-random-g3r-s1] round 63 | 315 designs | best 0.9547 | 64 min
[next-random-g3r-s0] round 60 | 300 designs | best 0.9450 | 65 min
[next-random-g3r-s1] round 64 | 320 designs | best 0.9547 | 67 min
[next-random-g3r-s0] round 61 | 305 designs | best 0.9450 | 67 min
[next-random-g3r-s0] round 62 | 310 designs | best 0.9450 | 69 min
[next-random-g3r-s1] round 65 | 325 designs | best 0.9547 | 69 min
[next-random-g3r-s0] round 63 | 315 designs | best 0.9450 | 71 min
[next-random-g3r-s1] round 66 | 330 designs | best 0.9547 | 71 min
[next-random-g3r-s0] round 64 | 320 designs | best 0.9450 | 73 min
[next-random-g3r-s1] round 67 | 335 designs | best 0.9547 | 73 min
[next-random-g3r-s0] round 65 | 325 designs | best 0.9450 | 74 min
[next-random-g3r-s1] round 68 | 340 designs | best 0.9547 | 75 min
[next-random-g3r-s0] round 66 | 330 designs | best 0.9450 | 75 min
[next-random-g3r-s1] round 69 | 345 designs | best 0.9547 | 77 min
